4G543翻,#genre#
博斯运动2,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn08
博斯网球,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn09
博斯无限,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn10
博斯无限2,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn13
节目来源盒子之家,http://tv
节目来源盒子之家,http://666

4G106翻,#genre#
民視,http://106.107.177.223:50007/4gtv-4gtv002/index.m3u8
華視,http://106.107.177.223:50007/4gtv-4gtv041/index.m3u8
中視,http://106.107.177.223:50007/4gtv-4gtv040/index.m3u8
台視,http://106.107.177.223:50007/4gtv-4gtv066/index.m3u8
華視新聞,http://106.107.177.223:50007/4gtv-4gtv052/index.m3u8
民視新聞,http://106.107.177.223:50007/litv-ftv13/index.m3u8
中視新聞,http://106.107.177.223:50007/4gtv-4gtv074/index.m3u8
民視第一,http://106.107.177.223:50007/4gtv-4gtv003/index.m3u8
民視台灣,http://106.107.177.223:50007/4gtv-4gtv001/index.m3u8
中視經典,http://106.107.177.223:50007/4gtv-4gtv080/index.m3u8
中視菁采,http://106.107.177.223:50007/4gtv-4gtv064/index.m3u8
民視綜藝,http://106.107.177.223:50007/4gtv-4gtv004/index.m3u8
民視旅遊,http://106.107.177.223:50007/litv-ftv07/index.m3u8
台視財經,http://106.107.177.223:50007/4gtv-4gtv056/index.m3u8
台視新聞,http://106.107.177.223:50007/4gtv-4gtv051/index.m3u8
公視戲劇,http://106.107.177.223:50007/4gtv-4gtv042/index.m3u8
民視影劇,http://106.107.177.223:50007/litv-ftv09/index.m3u8
TVBS HD,http://106.107.177.223:50007/4gtv-4gtv073/index.m3u8
TVBS劇,http://106.107.177.223:50007/4gtv-live088/index.m3u8
TVBS新聞,http://106.107.177.223:50007/4gtv-4gtv072/index.m3u8
TVBS綜藝,http://106.107.177.223:50007/4gtv-live087/index.m3u8
TVBS精采,http://106.107.177.223:50007/4gtv-4gtv067/index.m3u8
TVBS歡樂,http://106.107.177.223:50007/4gtv-4gtv068/index.m3u8
三立綜合,http://106.107.177.223:50007/4gtv-live207/index.m3u8
八大綜藝,http://106.107.177.223:50007/4gtv-4gtv039/index.m3u8
八大精彩,http://106.107.177.223:50007/4gtv-4gtv034/index.m3u8
中天新聞,http://106.107.177.223:50007/4gtv-4gtv009/index.m3u8
中天亞洲,http://106.107.177.223:50007/4gtv-4gtv109/index.m3u8
靖天映畫,http://106.107.177.223:50007/4gtv-4gtv055/index.m3u8
靖天電影,http://106.107.177.223:50007/4gtv-4gtv061/index.m3u8
靖天綜合,http://106.107.177.223:50007/4gtv-4gtv046/index.m3u8
靖天日本,http://106.107.177.223:50007/4gtv-4gtv047/index.m3u8
靖天育樂,http://106.107.177.223:50007/4gtv-4gtv062/index.m3u8
靖天國際,http://106.107.177.223:50007/4gtv-4gtv063/index.m3u8
靖天歡樂,http://106.107.177.223:50007/4gtv-4gtv054/index.m3u8
靖天資訊,http://106.107.177.223:50007/4gtv-4gtv065/index.m3u8
靖天戲劇,http://106.107.177.223:50007/4gtv-4gtv058/index.m3u8
靖天卡通,http://106.107.177.223:50007/4gtv-4gtv044/index.m3u8
靖洋卡通,http://106.107.177.223:50007/4gtv-4gtv057/index.m3u8
靖洋戲劇,http://106.107.177.223:50007/4gtv-4gtv045/index.m3u8
豬哥亮歌廳秀,http://106.107.177.223:50007/4gtv-4gtv006/index.m3u8
韓國娛樂KMTV,http://106.107.177.223:50007/4gtv-4gtv016/index.m3u8
台灣戲劇,http://106.107.177.223:50007/litv-longturn22/index.m3u8
ROCKAction,http://106.107.177.223:50007/4gtv-live138/index.m3u8
ROCKEntertainment,http://106.107.177.223:50007/4gtv-live080/index.m3u8
Lifetime娛樂頻道,http://106.107.177.223:50007/4gtv-live029/index.m3u8
電影原聲CMusic,http://106.107.177.223:50007/4gtv-live031/index.m3u8
滾動力rollor,http://106.107.177.223:50007/4gtv-live012/index.m3u8
亞洲旅遊,http://106.107.177.223:50007/4gtv-4gtv076/index.m3u8
愛爾達娛樂,http://106.107.177.223:50007/4gtv-4gtv070/index.m3u8
愛爾達旅遊,http://106.107.177.223:50007/4gtv-live120/index.m3u8
人間衛視,http://106.107.177.223:50007/4gtv-live008/index.m3u8
霹靂布袋戲,http://106.107.177.223:50007/4gtv-live145/index.m3u8
金光布袋戲,http://106.107.177.223:50007/4gtv-live144/index.m3u8
第一商業,http://106.107.177.223:50007/4gtv-4gtv104/index.m3u8
非凡新聞,http://106.107.177.223:50007/4gtv-4gtv010/index.m3u8
非凡商業,http://106.107.177.223:50007/4gtv-4gtv048/index.m3u8
三立新聞iNEWS,http://106.107.177.223:50007/iNEWS/index.m3u8
三立新聞iNEWS,http://106.107.177.223:50007/4gtv-live089/index.m3u8
鏡新聞,http://106.107.177.223:50007/4gtv-4gtv075/index.m3u8
東森新聞,http://106.107.177.223:50007/4gtv-4gtv152/index.m3u8
東森財經新聞,http://106.107.177.223:50007/4gtv-4gtv153/index.m3u8
寰宇新聞,http://106.107.177.223:50007/litv-longturn14/index.m3u8
寰宇新聞灣,http://106.107.177.223:50007/4gtv-4gtv156/index.m3u8
寰宇財經,http://106.107.177.223:50007/4gtv-4gtv158/index.m3u8
倪珍播新聞,http://106.107.177.223:50007/nnews-zh/index.m3u8
倪珍英語新聞,http://106.107.177.223:50007/nnews-en/index.m3u8
龍華洋片,http://106.107.177.223:50007/litv-longturn02/index.m3u8
龍華電影,http://106.107.177.223:50007/litv-longturn03/index.m3u8
龍華日韓,http://106.107.177.223:50007/litv-longturn11/index.m3u8
龍華偶像,http://106.107.177.223:50007/litv-longturn12/index.m3u8
龍華戲劇,http://106.107.177.223:50007/litv-longturn18/index.m3u8
龍華經典,http://106.107.177.223:50007/litv-longturn21/index.m3u8
龍華卡通,http://106.107.177.223:50007/litv-longturn01/index.m3u8
影迷數位電影,http://106.107.177.223:50007/4gtv-4gtv011/index.m3u8
影迷數位紀實,http://106.107.177.223:50007/litv-ftv15/index.m3u8
采昌影劇,http://106.107.177.223:50007/4gtv-4gtv049/index.m3u8
amc電影,http://106.107.177.223:50007/4gtv-4gtv017/index.m3u8
經典電影,http://106.107.177.223:50007/4gtv-live021/index.m3u8
戲劇免費看1,http://106.107.177.223:50007/4gtv-live010/index.m3u8
MOMO親子,http://106.107.177.223:50007/4gtv-live107/index.m3u8
經典卡通,http://106.107.177.223:50007/4gtv-live022/index.m3u8
精選動漫,http://106.107.177.223:50007/4gtv-live024/index.m3u8
博斯魅力,http://106.107.177.223:50007/litv-longturn04/index.m3u8
博斯高球,http://106.107.177.223:50007/litv-longturn05/index.m3u8
博斯高球二,http://106.107.177.223:50007/litv-longturn06/index.m3u8
博斯運動一,http://106.107.177.223:50007/litv-longturn07/index.m3u8
博斯運動二,http://106.107.177.223:50007/litv-longturn08/index.m3u8
博斯網球,http://106.107.177.223:50007/litv-longturn09/index.m3u8
博斯無限,http://106.107.177.223:50007/litv-longturn10/index.m3u8
博斯無限二,http://106.107.177.223:50007/litv-longturn13/index.m3u8
智林體育,http://106.107.177.223:50007/4gtv-4gtv101/index.m3u8


4G159免翻,#genre#
民视,http://159.138.9.99:50007/4gtv-4gtv002/index.m3u8
华视,http://159.138.9.99:50007/4gtv-4gtv041/index.m3u8
中视,http://159.138.9.99:50007/4gtv-4gtv040/index.m3u8
台视,http://159.138.9.99:50007/4gtv-4gtv066/index.m3u8
华视新闻,http://159.138.9.99:50007/4gtv-4gtv052/index.m3u8
民视新闻,http://159.138.9.99:50007/litv-ftv13/index.m3u8
中视新闻,http://159.138.9.99:50007/4gtv-4gtv074/index.m3u8
民视第一,http://159.138.9.99:50007/4gtv-4gtv003/index.m3u8
民视台灣,http://159.138.9.99:50007/4gtv-4gtv001/index.m3u8
中视經典,http://159.138.9.99:50007/4gtv-4gtv080/index.m3u8
中视菁采,http://159.138.9.99:50007/4gtv-4gtv064/index.m3u8
民视綜藝,http://159.138.9.99:50007/4gtv-4gtv004/index.m3u8
民视旅遊,http://159.138.9.99:50007/litv-ftv07/index.m3u8
台视財經,http://159.138.9.99:50007/4gtv-4gtv056/index.m3u8
台视新闻,http://159.138.9.99:50007/4gtv-4gtv051/index.m3u8
公视戏剧,http://159.138.9.99:50007/4gtv-4gtv042/index.m3u8
民视影劇,http://159.138.9.99:50007/litv-ftv09/index.m3u8
TVBS HD,http://159.138.9.99:50007/4gtv-4gtv073/index.m3u8
TVBS劇,http://159.138.9.99:50007/4gtv-live088/index.m3u8
TVBS新闻,http://159.138.9.99:50007/4gtv-4gtv072/index.m3u8
TVBS綜藝,http://159.138.9.99:50007/4gtv-live087/index.m3u8
TVBS精采,http://159.138.9.99:50007/4gtv-4gtv067/index.m3u8
TVBS歡樂,http://159.138.9.99:50007/4gtv-4gtv068/index.m3u8
三立綜合,http://159.138.9.99:50007/4gtv-live207/index.m3u8
八大綜藝,http://159.138.9.99:50007/4gtv-4gtv039/index.m3u8
八大精彩,http://159.138.9.99:50007/4gtv-4gtv034/index.m3u8
中天新闻,http://159.138.9.99:50007/4gtv-4gtv009/index.m3u8
中天亞洲,http://159.138.9.99:50007/4gtv-4gtv109/index.m3u8
靖天映畫,http://159.138.9.99:50007/4gtv-4gtv055/index.m3u8
靖天電影,http://159.138.9.99:50007/4gtv-4gtv061/index.m3u8
靖天綜合,http://159.138.9.99:50007/4gtv-4gtv046/index.m3u8
靖天日本,http://159.138.9.99:50007/4gtv-4gtv047/index.m3u8
靖天育樂,http://159.138.9.99:50007/4gtv-4gtv062/index.m3u8
靖天國際,http://159.138.9.99:50007/4gtv-4gtv063/index.m3u8
靖天歡樂,http://159.138.9.99:50007/4gtv-4gtv054/index.m3u8
靖天資訊,http://159.138.9.99:50007/4gtv-4gtv065/index.m3u8
靖天戏剧,http://159.138.9.99:50007/4gtv-4gtv058/index.m3u8
靖天卡通,http://159.138.9.99:50007/4gtv-4gtv044/index.m3u8
靖洋卡通,http://159.138.9.99:50007/4gtv-4gtv057/index.m3u8
靖洋戏剧,http://159.138.9.99:50007/4gtv-4gtv045/index.m3u8
豬哥亮歌廳秀,http://159.138.9.99:50007/4gtv-4gtv006/index.m3u8
韓國娛樂KMTV,http://159.138.9.99:50007/4gtv-4gtv016/index.m3u8
台灣戏剧,http://159.138.9.99:50007/litv-longturn22/index.m3u8
ROCKAction,http://159.138.9.99:50007/4gtv-live138/index.m3u8
ROCKEntertainment,http://159.138.9.99:50007/4gtv-live080/index.m3u8
娛樂頻道,http://159.138.9.99:50007/4gtv-live029/index.m3u8
電影原聲CMusic,http://159.138.9.99:50007/4gtv-live031/index.m3u8
滾動力rollor,http://159.138.9.99:50007/4gtv-live012/index.m3u8
亞洲旅遊,http://159.138.9.99:50007/4gtv-4gtv076/index.m3u8
愛爾達娛樂,http://159.138.9.99:50007/4gtv-4gtv070/index.m3u8
愛爾達旅遊,http://159.138.9.99:50007/4gtv-live120/index.m3u8
人間衛视,http://159.138.9.99:50007/4gtv-live008/index.m3u8
霹靂布袋戲,http://159.138.9.99:50007/4gtv-live145/index.m3u8
金光布袋戲,http://159.138.9.99:50007/4gtv-live144/index.m3u8
第一商業,http://159.138.9.99:50007/4gtv-4gtv104/index.m3u8
非凡新闻,http://159.138.9.99:50007/4gtv-4gtv010/index.m3u8
非凡商業,http://159.138.9.99:50007/4gtv-4gtv048/index.m3u8
三立新闻iNEWS,http://159.138.9.99:50007/iNEWS/index.m3u8
三立新闻iNEWS,http://159.138.9.99:50007/4gtv-live089/index.m3u8
鏡新闻,http://159.138.9.99:50007/4gtv-4gtv075/index.m3u8
東森新闻,http://159.138.9.99:50007/4gtv-4gtv152/index.m3u8
東森財經新闻,http://159.138.9.99:50007/4gtv-4gtv153/index.m3u8
寰宇新闻,http://159.138.9.99:50007/litv-longturn14/index.m3u8
寰宇新闻灣,http://159.138.9.99:50007/4gtv-4gtv156/index.m3u8
寰宇財經,http://159.138.9.99:50007/4gtv-4gtv158/index.m3u8
倪珍播新闻,http://159.138.9.99:50007/nnews-zh/index.m3u8
倪珍英語新闻,http://159.138.9.99:50007/nnews-en/index.m3u8
龍华洋片,http://159.138.9.99:50007/litv-longturn02/index.m3u8
龍华電影,http://159.138.9.99:50007/litv-longturn03/index.m3u8
龍华日韓,http://159.138.9.99:50007/litv-longturn11/index.m3u8
龍华偶像,http://159.138.9.99:50007/litv-longturn12/index.m3u8
龍华戏剧,http://159.138.9.99:50007/litv-longturn18/index.m3u8
龍华經典,http://159.138.9.99:50007/litv-longturn21/index.m3u8
龍华卡通,http://159.138.9.99:50007/litv-longturn01/index.m3u8
影迷數位電影,http://159.138.9.99:50007/4gtv-4gtv011/index.m3u8
影迷數位紀實,http://159.138.9.99:50007/litv-ftv15/index.m3u8
采昌影劇,http://159.138.9.99:50007/4gtv-4gtv049/index.m3u8
amc電影,http://159.138.9.99:50007/4gtv-4gtv017/index.m3u8
經典電影,http://159.138.9.99:50007/4gtv-live021/index.m3u8
戏剧免費看1,http://159.138.9.99:50007/4gtv-live010/index.m3u8
MOMO親子,http://159.138.9.99:50007/4gtv-live107/index.m3u8
經典卡通,http://159.138.9.99:50007/4gtv-live022/index.m3u8
精選動漫,http://159.138.9.99:50007/4gtv-live024/index.m3u8
博斯魅力,http://159.138.9.99:50007/litv-longturn04/index.m3u8
博斯高球,http://159.138.9.99:50007/litv-longturn05/index.m3u8
博斯高球二,http://159.138.9.99:50007/litv-longturn06/index.m3u8
博斯運動一,http://159.138.9.99:50007/litv-longturn07/index.m3u8
博斯運動二,http://159.138.9.99:50007/litv-longturn08/index.m3u8
博斯網球,http://159.138.9.99:50007/litv-longturn09/index.m3u8
博斯無限,http://159.138.9.99:50007/litv-longturn10/index.m3u8
博斯無限二,http://159.138.9.99:50007/litv-longturn13/index.m3u8
智林體育,http://159.138.9.99:50007/4gtv-4gtv101/index.m3u8
节目来源易发TV,https://codeberg.org/wulaoban/yifa/raw/branch/main/yiyifafa.txt
